name,type,genre,link
Pete Rock - Lost & Found: Hip Hop Underground Soul Classics  [Full Album] (Disc 1) (2003),album-upload,,https://www.youtube.com/watch?v=bQ0G7o0AEL8
BigXthaPlug - TAKE CARE (Full Album),album-upload,,https://www.youtube.com/watch?v=3v62RzdlMPU
Nas & DJ Premier - LIGHT-YEARS (FULL ALBUM),album-upload,,https://www.youtube.com/watch?v=9FbhYj_QioI
The Notorious B.I.G. - Greatest Hits (Full Album) | Biggie Greatest Hits Playlist,album-upload,,https://www.youtube.com/watch?v=cTcTIBOgM9E
Vanilla - Into The Dream (Full Album),album-upload,,https://www.youtube.com/watch?v=gUUH8xzu41s
90s Underground Hip Hop - Rare & Nostalgic Tracks (No AI),album-upload,,https://www.youtube.com/watch?v=8LTN6AyI4Zw
FULL VINYL | 90s Underground Hip Hop (Laidback & Underrated ’95 Era) | DJ NAVE@Bar Stone's Throw,album-upload,,https://www.youtube.com/watch?v=UL98fEff8yY
"HIP HOP MIX 2023 - Snoop Dogg, Dr. Dre, Nas, 2Pac, Eminem, DMX , 50 Cent,  Ice Cube, WC, Xzibit",album-upload,,https://www.youtube.com/watch?v=jQRo-vdjYd8
Dr  Dre   Waiting For Detox 2022 Full Album 2022 +90s 2000s HIPHOP MIX🏆️🏆️🏆️,album-upload,,https://www.youtube.com/watch?v=Ay93jamgSIM
90's Hip Hop Mix #01 | Best of Old School Rap Songs | Throwback Rap Classics | Westcoast | Eastcoast,album-upload,,https://www.youtube.com/watch?v=rwYrEEka1mc
Westside Gunn - Gaddafi wears Goyard (Full Album),album-upload,,https://www.youtube.com/watch?v=Cu4-QNEDbYg
Nas - Magic Full Album,album-upload,,https://www.youtube.com/watch?v=rx5Ydn4q2g4
Jethro Tull - Aqualung (Full Album),album-upload,,https://www.youtube.com/watch?v=QcCQ9NXF5s0
Deep Purple - Machine Head (Full Album),album-upload,,https://www.youtube.com/watch?v=hMCVe0cs4DI
Led Zeppelin - Physical Graffiti (Full Album) [Official Video],album-upload,,https://www.youtube.com/watch?v=qhjaUsJ8PIk
Led Zeppelin - Mothership (Full Album) (2007 Remaster) | Led Zeppelin - Greatest Hits,album-upload,,https://www.youtube.com/watch?v=FDMq9ie0ih0
Van Halen - 1984 (Full Album),album-upload,,https://www.youtube.com/watch?v=LfwJdWHjkGY
"Ultimate Classic Rock Playlist - Van Halen, Led Zeppelin, Bad Company & More",album-upload,,https://www.youtube.com/watch?v=aFqupp_W7uY
Muse |  greatest hits full album - Rock Alternatif,album-upload,,https://www.youtube.com/watch?v=NghAYWN8Qao
Deep Purple in Rock Full Album,album-upload,,https://www.youtube.com/watch?v=6-LS5VVOpOg
Pantera - Vulgar Display of Power (Full Album) [Official Video],album-upload,,https://www.youtube.com/watch?v=8hu6xDPcNlE
Led Zeppelin - Houses of the Holy (Remaster) [Official Full Album],album-upload,,https://www.youtube.com/watch?v=97FpOlzPqFM
Led Zeppelin - Led Zeppelin IV (Remaster) [Official Full Album],album-upload,,https://www.youtube.com/watch?v=0hLESLXqBLI
Pink Floyd - Animals 2018 Remix (Full Album),album-upload,,https://www.youtube.com/watch?v=Pi-Fn1M7z1I
Black Sabbath - Heaven & Hell (Full Album),album-upload,,https://www.youtube.com/watch?v=OnWsRUKGDeo
BLACK SABBATH - Master of Reality (Full Album),album-upload,,https://www.youtube.com/watch?v=1fqGIpkp2NU
Dio -  The Last in Line (Full Album) [Official Video],album-upload,,https://www.youtube.com/watch?v=OtqttwO1htA
"Acoustic Chill • Soft Indie Folk Playlist, Vol 3 (50 tracks) Calm & Soothing",album-upload,,https://www.youtube.com/watch?v=8UjJBh_GO2k
'Don't Trad On Me' (Irish Folk Music) | FULL ALBUM STREAM,album-upload,,https://www.youtube.com/watch?v=ZBUlKajWPvI
The Lanterns Beyond the Turning Roads (2026) (Full Album) (Folk Rock) (Jethro Tull style),album-upload,,https://www.youtube.com/watch?v=t47UWCc4glM
Joni Mitchell - Blue (Full Album) [Official Video],album-upload,,https://www.youtube.com/watch?v=MvR7Dkg4NQU
Fleetwood Mac - Rumours [Full Album],album-upload,,https://www.youtube.com/watch?v=-uFU79MGj00
MYRKUR - Folkesange [FULL ALBUM STREAM],album-upload,,https://www.youtube.com/watch?v=c277UL4iAC0
Mark Knopfler - One Deep River (Full Album Visualiser),album-upload,,https://www.youtube.com/watch?v=FyjiwtUATvQ
Australian Folk Songs LP [Mono] - Burl Ives (1959) [Full Album],album-upload,,https://www.youtube.com/watch?v=iLnDzvBwTpU
Domadagr | Full Danheim album (2021) Viking Folk & Nordic Music,album-upload,,https://www.youtube.com/watch?v=zLSKgqULxyY
New Indie Folk January 2026 | Acoustic Playlist for Peaceful Moments,album-upload,,https://www.youtube.com/watch?v=hhw90xpY7MI
Low Pine River - All That Never Left (Full Album) | Melancholic 70s Folk Americana,album-upload,,https://www.youtube.com/watch?v=URrwucMK32w
October Falls - Kaarna ( Best Acoustic Folk/Ambient Album ),album-upload,,https://www.youtube.com/watch?v=guHfqvhKOPw
Wanderlust 🌲 - An Indie/Folk/Pop Playlist | Vol. III,album-upload,,https://www.youtube.com/watch?v=MH01Y1vE3Pg
ODE to the lucanian forest full album folk atmospheric black metal 2019,album-upload,,https://www.youtube.com/watch?v=CF4YncvZK-E
The Lumineers - Full Performance (Live on KEXP),album-upload,,https://www.youtube.com/watch?v=353lHGbvu8o
Herbie Hancock - Maiden Voyage (Full Album),album-upload,,https://www.youtube.com/watch?v=l4WWKnGBWIc
Miles Davis - Sketches of Spain (1960) (Full Album),album-upload,,https://www.youtube.com/watch?v=38zRx9AYDHQ
"John Coltrane ""My Favorite Things"" - Full Album ...",album-upload,,https://www.youtube.com/watch?v=4tncD1oA6i4
最高のビル・エヴァンス - Best Bill Evans Songs (Full Album),album-upload,,https://www.youtube.com/watch?v=YIgC9ZoI0AI
"Monk's Dream - Thelonious Monk [1962](USA)|Jazz, Bebop, Hard Bop",album-upload,,https://www.youtube.com/watch?v=iOyf4R3lLKU
Men I Trust - Oncle Jazz (Full Album HQ),album-upload,,https://www.youtube.com/watch?v=iVg30U6O764
John Coltrane - Giant Steps (2020 Remaster) [Full Album],album-upload,,https://www.youtube.com/watch?v=xy_fxxj1mMY
BEN WEBSTER - At Ease With Ben Webster (Full Album),album-upload,,https://www.youtube.com/watch?v=SZV5uD8WoQE
Duke Ellington  - Sophisticated Duke -FULL ALBUM,album-upload,,https://www.youtube.com/watch?v=4Q_875jeRns
S̤t̤e̤e̤l̤y̤ ̤D̤a̤n̤ ̤ ̤ ̤A̤j̤a̤ Full Album,album-upload,,https://www.youtube.com/watch?v=nU1x6FCQpjQ
Tatsuro Murakami - Mita Koyama-cho (Full Album),album-upload,,https://www.youtube.com/watch?v=wN_XFm7Myus
Count Basie Orchestra  - The Complete Atomic Basie  -1957- FULL ALBUM,album-upload,,https://www.youtube.com/watch?v=MyM-PlLWxco
The Black Saint And The Sinner Lady - Charles Mingus - Full Album (1963),album-upload,,https://www.youtube.com/watch?v=hP_vjfC0FlM
